Fonctions;Organisme;Téléphone;Adresse;E-Mail;
Accueillir, douche, petit-déjeuner, habits, bagagerie;Secours Catholique;05 59 55 40 98;9 rue Daniel Argote, 64100 Bayonne;;
Accueillir, douche, lave-ange, petit-déjeuner, bagagerie;P.A.J.;05 59 50 28 84;14 Rue Sainte-Ursule, 64100 Bayonne;;
Accueil des Réfugiés;"Centre d'Accueil des Demandeurs d'Asile
";;10 rue de la Feuillée 64100 Bayonne;;
Accueil des réfugiés;CIMADE;09 77 46 92 13;26, Rue Sainte-Catherine, Saint-Esprit, Bayonne;bayonne@lacimade.org;
Accompagnement et prévention addictions;BIZIA - CAARUD;559443100;Bat. ;;
;;Franck au 0628631463;;;
;;Brice au 0687775024;;;
;;Lucie au 0620538211;;;
Difficultés socio-familiales;Centre d'Hébergement et de Réinsertion Sociale Les Mouettes;;14 rue Jacques Laffitte 64100 Bayonne;;
;Foyer Atherbea;;10 rue de la Feuillée 64100 Bayonne;;
;Résidence Habitat Jeunes Sud-Aquitaine;;34 Ter avenue du 1er Mai BP 31 40220 Tarnos;;
Handicap adultes;Foyer d'Hébergement Espérance;;3134 route Océane 40390 Saint-Martin-de-Seignanx;;
Centre Médico-Psycho-Pédagogique ;CMPP;;Villa Navarre Avenue du Docteur Léon Moynac 64100 Bayonne;;
;;;;;
Action Sociale;Association Philae;;6 avenue du Capitaine Resplandy 64100 Bayonne;;
Action Sociale;Association ATHERBEA;;10 rue Louis  Seguin 64100 Bayonne;64100;Bayonne
Action Sociale;Caisse d'Allocations Familiales;;10 avenue du Maréchal Foch 64106 Bayonne;;
Action Sociale;Caisse Primaire d'Assurance Maladie;;68 - 72 allées Marines 64111 Bayonne;;
Action Sociale;SEAPB - Sauvegarde de l'Enfance à l'Adulte du Pays Basque;;68 avenue de Bayonne Le Busquet 5 64600 Anglet;;
Difficultés socio-familiales;"Le Trait d'Union
";;Résidence Bayonnaise 4 avenue du 11 novembre 1918 64100 Bayonne;;
;;;;;
Difficultés socio-familiales;Atherbea Accueil Hébergement Insertion;;Avenue de l'Adour 64600 Anglet;;
Protection de l’enfance;"UEMO de Bayonne
";;13 allées Marines 64100 Bayonne;;
Protection de l’enfance;"Foyer Mirasol
";;Villa Mirasol 12 allées Paulmy 64100 Bayonne;;
Protection de l’enfance;"Foyer Lanerat
";;"Villa Lanerat 9 rue du Docteur André Vidal 64100 Bayonne
";;
Protection de l’enfance;"Centre Départemental de l'Enfance et de la Famille
";;64 boulevard Alsace Lorraine 64600 Pau;;
Formation;"CFC Saint-André
";;"Notre Refuge 163 avenue de Montbrun BP 455 64604 Anglet
";;
Formation;"Association pour la Promotion Sociale et Professionnelle
";;30B rue Pétricot 64200 Biarritz;;
Droits et Justice;PALAIS DE JUSTICE DE BAYONNE : ;05.59.59.27.72 ;17 avenue de la Légion Tchèque - 64100 BAYONNE ;du lundi au vendredi de 9h30 à 12h;
;La Table du soir;05 59 59 77 61;Chem. de Saint-Bernard, 64100 Bayonne;;
