Centre;Jour;Ouvert. matin;après-midi
Secours Catholique;Lundi;90:00 - 11:30;
Secours Catholique;Mardi;90:00 - 11:30;
Secours Catholique;Mercredi;90:00 - 11:30;
Secours Catholique;Jeudi;90:00 - 11:30;
Secours Catholique;Vendredi;90:00 - 11:30;
Secours Catholique;Samedi;90:00 - 11:30;
Secours Catholique;Dimanche;;
P.A.J. BAB;Lundi;90:00 - 12:00;14:00 - 17:30
P.A.J. BAB;Mardi;90:00 - 12:00;
P.A.J. BAB;Mercredi;90:00 - 12:00;
P.A.J. BAB;Jeudi;90:00 - 12:00;
P.A.J. BAB;Vendredi;90:00 - 12:00;14:00 - 17:30
P.A.J. BAB;Samedi;90:00 - 12:00;
P.A.J. BAB;Dimanche;90:00 - 12:00;
Zuekin;Lundi;90:30 - 12:30;13:30 - 16:15
Zuekin;Mardi;90:30 - 12:30;
Zuekin;Mercredi;90:30 - 12:30;
Zuekin;Jeudi;90:30 - 12:30;13:30 - 16:15
Zuekin;Vendredi;90:30 - 12:30;
Zuekin;Samedi;90:30 - 12:30;
Zuekin;Dimanche;;
CAARUD;Lundi;90:00 - 12:00;
CAARUD;Mercredi;90:00 - 12:00;
CAARUD;Vendredi;90:00 - 12:00;
