Activité;Jour;matin;apres-midi
Accueil Matin;Lundi;90:00 - 11:30;
Accueil Matin;Mardi;90:00 - 11:30;
Accueil Matin;Mercredi;90:00 - 11:30;
Accueil Matin;Jeudi;90:00 - 11:30;
Accueil Matin;Vendredi;90:00 - 11:30;
Accueil Matin;Samedi;90:00 - 11:30;
Boutique solidaire;Lundi;;14:00 - 17:30
Boutique solidaire;Mercredi;;14:00 - 17:30
Boutique solidaire;Jeudi;;14:00 - 17:30
Grenier d’Argote (Vente par lots);Mercredi;;14:00 - 16:30
Grenier d’Argote (Accueil individuel);Mardi;;14:00 - 17:00
Soutien Scolaire (Vacances Scolaires);Mercredi;;14:00-16:00
Apprentissage du Français (Sauf vacances scolaires);Lundi;90:00 - 10:00;
Apprentissage du Français (Sauf vacances scolaires);Mardi;90:00 - 10:00;
Apprentissage du Français (Sauf vacances scolaires);Vendredi;90:30 - 12:30;13:30 - 16:15
Soutien familles et personnes isolées;Sur RdV et sur dossier d’Assistante Social;;
Micro-Credit;Sur RdV- Se renseigner à l’accueil du matin;;
Jardin;Se renseigner à l’accueil du matin;;
AMA;Vendredi (toutes les 2 sem.);;14:00-16:00
